iter	Logloss
0	0.609721641
1	0.5339025476
2	0.4737986649
3	0.4202314144
4	0.3756137261
5	0.3378384705
6	0.3062070837
7	0.2779845243
8	0.2551437553
9	0.2354342059
10	0.2193698558
11	0.2047057107
12	0.1918109776
13	0.1808369622
14	0.1761467529
15	0.1701540532
16	0.1621945127
17	0.155332946
18	0.1488795873
19	0.1448248508
20	0.1422577907
21	0.1399920868
22	0.1351582665
23	0.1327553465
24	0.1297766368
25	0.1275760727
26	0.1232822806
27	0.122014764
28	0.1189930826
29	0.1169817992
30	0.1154583614
31	0.1140306515
32	0.1131505558
33	0.1119839534
34	0.1108381356
35	0.1093238618
36	0.108390806
37	0.1060727783
38	0.104991147
39	0.1042600223
40	0.1035144792
41	0.1020952442
42	0.1015264297
43	0.1006410291
44	0.09876354801
45	0.09787716259
46	0.09709078215
47	0.09654781226
48	0.0963035571
49	0.09569907503
50	0.09423807511
51	0.09348916789
52	0.09289918972
53	0.09249829873
54	0.09181417548
55	0.09124399606
56	0.09079745467
57	0.08971007382
58	0.08911720563
59	0.08876496736
60	0.08838947627
61	0.08774491869
62	0.08684065716
63	0.08654720823
64	0.08625335736
65	0.08583910632
66	0.08548837818
67	0.08505619721
68	0.08477580671
69	0.08383405478
70	0.08347166876
71	0.08264066623
72	0.08238962743
73	0.08182401479
74	0.08149334137
75	0.08118506005
76	0.08088998145
77	0.08065277322
78	0.08033410682
79	0.08000459246
80	0.07969161302
81	0.07927658359
82	0.07906750241
83	0.07875490719
84	0.07844662787
85	0.07831836764
86	0.07808537009
87	0.07783309798
88	0.0775245761
89	0.07715222583
90	0.0766068526
91	0.07629569162
92	0.0760014026
93	0.07563336651
94	0.07546771689
95	0.07530345481
96	0.0750119472
97	0.07480113707
98	0.07466835665
99	0.07446414804
100	0.07422187833
101	0.07395202854
102	0.07360618493
103	0.07343793417
104	0.07319066716
105	0.07294891231
106	0.07276321779
107	0.07262038608
108	0.07246327167
109	0.0723178362
110	0.07211462511
111	0.07199913876
112	0.07183601757
113	0.07146978193
114	0.07126983625
