iter	Passed	Remaining
217	2411	8649
218	2420	8632
219	2430	8615
220	2439	8598
221	2448	8579
222	2458	8564
223	2466	8545
224	2476	8531
225	2486	8515
226	2495	8497
227	2505	8484
228	2515	8467
229	2524	8453
230	2533	8435
231	2542	8416
232	2551	8399
233	2560	8383
234	2570	8367
235	2578	8348
236	2589	8336
237	2599	8321
238	2608	8306
239	2618	8291
240	2627	8276
241	2637	8261
242	2646	8245
243	2656	8231
244	2665	8214
245	2674	8198
246	2684	8183
247	2693	8166
248	2702	8149
249	2711	8133
250	2720	8117
251	2728	8099
252	2739	8087
253	2748	8071
254	2757	8055
255	2766	8041
256	2775	8024
257	2785	8011
258	2794	7994
259	2804	7981
260	2813	7966
261	2822	7950
262	2831	7934
263	2840	7918
264	2849	7903
265	2858	7888
266	2868	7875
267	2877	7859
268	2886	7844
269	2895	7829
270	2906	7818
271	2916	7804
272	2924	7788
273	2933	7773
274	2942	7757
275	2952	7745
276	2961	7730
277	2970	7715
278	2980	7701
279	2988	7685
280	3000	7676
281	3013	7672
282	3025	7665
283	3042	7671
284	3053	7661
285	3065	7651
286	3078	7649
287	3091	7643
288	3104	7636
289	3116	7628
290	3124	7613
291	3133	7598
292	3143	7585
293	3156	7579
294	3172	7581
295	3187	7581
296	3200	7575
297	3213	7571
298	3222	7556
299	3231	7539
300	3239	7523
301	3249	7509
302	3258	7495
303	3267	7480
304	3276	7466
305	3285	7450
306	3295	7438
307	3303	7423
308	3315	7415
309	3324	7399
310	3333	7384
311	3342	7371
312	3351	7356
313	3361	7344
314	3370	7329
315	3380	7316
316	3390	7304
317	3399	7289
318	3408	7276
319	3417	7262
320	3426	7248
321	3435	7233
322	3444	7220
323	3454	7206
324	3463	7192
325	3473	7180
326	3481	7165
327	3491	7153
328	3500	7138
329	3510	7126
330	3519	7112
331	3527	7098
332	3536	7084
333	3545	7069
334	3554	7055
335	3563	7041
336	3573	7030
337	3583	7017
338	3593	7006
339	3603	6995
340	3612	6981
341	3622	6969
342	3631	6955
343	3641	6943
344	3650	6929
345	3659	6916
346	3669	6904
347	3677	6890
348	3687	6878
349	3696	6865
350	3706	6853
351	3715	6840
352	3726	6829
353	3736	6818
354	3745	6804
355	3754	6792
356	3763	6778
357	3773	6766
358	3782	6753
359	3791	6741
360	3803	6732
361	3818	6729
362	3833	6726
363	3846	6721
364	3861	6718
365	3871	6707
366	3881	6694
367	3890	6681
368	3900	6669
369	3908	6655
370	3917	6642
371	3926	6628
372	3936	6616
373	3945	6604
374	3954	6590
375	3963	6577
376	3972	6564
377	3981	6551
378	3991	6539
379	4001	6529
380	4011	6516
381	4020	6504
382	4030	6492
383	4040	6480
384	4050	6470
385	4059	6457
386	4069	6446
387	4079	6434
388	4089	6422
389	4099	6412
390	4110	6401
391	4123	6395
392	4135	6387
393	4145	6375
394	4155	6364
395	4166	6355
396	4177	6345
397	4188	6334
398	4199	6324
399	4210	6315
400	4221	6305
401	4231	6295
402	4241	6283
403	4252	6272
404	4262	6261
405	4270	6248
406	4281	6237
407	4290	6225
408	4299	6213
409	4309	6201
410	4318	6188
411	4328	6177
412	4337	6164
413	4347	6153
414	4356	6140
415	4365	6128
416	4374	6115
417	4383	6103
418	4392	6090
419	4401	6077
420	4410	6066
421	4419	6053
422	4429	6042
423	4438	6029
424	4445	6014
425	4454	6001
426	4463	5989
427	4472	5977
428	4483	5967
429	4493	5956
430	4503	5945
431	4512	5933
432	4522	5922
433	4531	5910
434	4542	5900
435	4553	5890
436	4563	5879
437	4575	5870
438	4582	5856
439	4594	5847
440	4603	5835
441	4613	5824
442	4625	5815
443	4636	5805
444	4646	5795
445	4657	5785
446	4668	5775
447	4678	5764
448	4690	5755
449	4700	5744
450	4709	5733
451	4719	5722
452	4728	5710
453	4738	5698
454	4747	5686
455	4757	5675
456	4766	5663
457	4776	5652
458	4786	5641
459	4795	5629
460	4805	5618
461	4814	5606
462	4823	5594
463	4833	5584
464	4842	5571
465	4851	5559
466	4860	5547
467	4870	5536
468	4881	5527
469	4890	5515
470	4900	5503
471	4909	5491
472	4919	5481
473	4929	5470
474	4938	5458
475	4948	5447
476	4958	5437
477	4969	5427
478	4978	5415
479	4988	5404
480	4997	5392
481	5005	5379
482	5015	5368
483	5024	5356
484	5033	5345
485	5042	5333
486	5052	5322
487	5061	5310
488	5071	5299
489	5081	5289
490	5090	5277
491	5099	5265
492	5108	5253
493	5118	5242
494	5127	5230
495	5136	5219
496	5146	5208
497	5155	5196
498	5165	5186
499	5174	5174
500	5185	5164
501	5196	5154
502	5206	5143
503	5216	5133
504	5226	5122
505	5236	5111
506	5244	5100
507	5254	5088
508	5265	5079
509	5275	5068
510	5286	5058
511	5295	5047
512	5305	5036
513	5316	5026
514	5326	5016
515	5335	5004
516	5347	4995
517	5357	4985
518	5367	4974
519	5378	4964
520	5387	4953
521	5397	4942
522	5404	4928
523	5413	4917
524	5422	4905
525	5430	4893
526	5440	4883
527	5449	4871
528	5459	4860
529	5468	4848
530	5478	4838
531	5486	4826
532	5495	4815
533	5504	4803
534	5513	4792
535	5523	4781
536	5531	4769
537	5542	4759
538	5551	4748
539	5561	4737
540	5571	4726
541	5580	4715
542	5590	4705
543	5599	4693
544	5608	4682
545	5617	4670
546	5626	4659
547	5635	4648
548	5644	4636
549	5653	4625
550	5662	4613
551	5671	4603
552	5680	4591
553	5689	4580
554	5698	4569
555	5708	4558
556	5716	4546
557	5725	4535
558	5735	4525
559	5744	4513
560	5757	4505
561	5766	4494
562	5775	4482
563	5784	4471
564	5793	4460
565	5802	4449
566	5811	4438
567	5821	4427
568	5830	4416
569	5839	4405
570	5850	4395
571	5859	4384
572	5869	4373
573	5877	4362
574	5886	4351
575	5895	4339
576	5905	4329
577	5915	4318
578	5924	4307
579	5933	4297
580	5942	4285
581	5952	4275
582	5961	4263
583	5971	4253
584	5980	4242
585	5988	4231
586	5998	4220
587	6006	4208
588	6016	4197
589	6024	4186
590	6034	4176
591	6043	4165
592	6052	4154
593	6062	4143
594	6071	4132
595	6080	4121
596	6089	4110
597	6099	4100
598	6108	4089
599	6118	4078
600	6126	4067
601	6136	4056
602	6145	4046
603	6154	4034
604	6165	4025
605	6174	4014
606	6183	4003
607	6191	3992
608	6201	3981
609	6210	3970
610	6219	3959
611	6228	3949
612	6237	3938
613	6247	3927
614	6256	3916
615	6265	3905
616	6274	3894
617	6283	3883
618	6293	3873
619	6302	3862
620	6312	3852
621	6321	3841
622	6331	3831
623	6340	3820
624	6349	3809
625	6359	3799
626	6367	3788
627	6377	3777
628	6387	3767
629	6397	3757
630	6407	3747
631	6417	3736
632	6425	3725
633	6434	3714
634	6445	3704
635	6455	3694
636	6465	3684
637	6475	3674
638	6485	3663
639	6496	3654
640	6507	3644
641	6519	3635
642	6531	3626
643	6541	3616
644	6551	3606
645	6563	3596
646	6575	3587
647	6586	3577
648	6598	3568
649	6609	3558
650	6618	3548
651	6630	3539
652	6640	3528
653	6650	3518
654	6661	3508
655	6671	3498
656	6681	3488
657	6691	3478
658	6701	3467
659	6711	3457
660	6722	3447
661	6732	3437
662	6745	3428
663	6757	3419
664	6766	3408
665	6777	3398
666	6787	3388
667	6798	3378
668	6809	3368
669	6820	3359
670	6837	3352
671	6850	3343
672	6862	3334
673	6877	3326
674	6895	3320
675	6911	3312
676	6923	3303
677	6934	3293
678	6943	3282
679	6957	3274
680	6970	3265
681	6983	3256
682	6996	3247
683	7009	3238
684	7021	3228
685	7032	3218
686	7044	3209
687	7055	3199
688	7065	3189
689	7089	3185
690	7104	3177
691	7118	3168
692	7132	3159
693	7145	3150
694	7158	3141
695	7170	3131
696	7180	3121
697	7189	3110
698	7199	3100
699	7208	3089
700	7219	3079
701	7229	3068
702	7238	3058
703	7249	3048
704	7260	3038
705	7270	3027
706	7281	3017
707	7290	3006
708	7302	2997
709	7313	2987
710	7323	2976
711	7335	2966
712	7344	2956
713	7353	2945
714	7364	2935
715	7373	2924
716	7385	2915
717	7395	2904
718	7405	2894
719	7415	2883
720	7426	2873
721	7436	2863
722	7447	2853
723	7455	2842
724	7466	2832
725	7477	2822
726	7487	2811
727	7499	2801
728	7509	2791
729	7518	2780
730	7529	2770
731	7538	2760
732	7548	2749
733	7557	2738
734	7566	2727
735	7576	2717
736	7585	2706
737	7595	2696
738	7605	2686
739	7615	2675
740	7624	2664
741	7633	2654
742	7643	2643
743	7651	2632
744	7660	2622
745	7670	2611
746	7678	2600
747	7688	2590
748	7697	2579
749	7707	2569
750	7716	2558
751	7725	2547
752	7733	2536
753	7743	2526
754	7752	2515
755	7761	2504
756	7770	2494
757	7779	2483
758	7789	2473
759	7797	2462
760	7807	2452
761	7816	2441
762	7826	2431
763	7835	2420
764	7844	2409
765	7854	2399
766	7863	2388
767	7873	2378
768	7882	2367
769	7891	2357
770	7900	2346
771	7914	2337
772	7927	2327
773	7938	2317
774	7947	2307
775	7956	2296
776	7965	2286
777	7974	2275
778	7985	2265
779	7999	2256
780	8009	2246
781	8021	2236
782	8034	2226
783	8044	2216
784	8056	2206
785	8064	2195
786	8073	2185
787	8083	2174
788	8091	2163
789	8102	2153
790	8111	2143
791	8121	2132
792	8130	2122
793	8139	2111
794	8148	2101
795	8156	2090
796	8165	2079
797	8175	2069
798	8184	2059
799	8193	2048
800	8203	2037
801	8211	2027
802	8221	2016
803	8230	2006
804	8239	1995
805	8248	1985
806	8258	1975
807	8268	1964
808	8277	1954
809	8285	1943
810	8295	1933
811	8303	1922
812	8312	1911
813	8321	1901
814	8333	1891
815	8343	1881
816	8352	1870
817	8361	1860
818	8368	1849
819	8377	1839
820	8386	1828
821	8396	1818
822	8405	1807
823	8415	1797
824	8425	1787
825	8435	1776
826	8444	1766
827	8455	1756
828	8467	1746
829	8478	1736
830	8489	1726
831	8500	1716
832	8510	1706
833	8519	1695
834	8531	1685
835	8544	1676
836	8555	1666
837	8565	1655
838	8575	1645
839	8584	1635
840	8593	1624
841	8603	1614
842	8613	1604
843	8622	1593
844	8631	1583
845	8640	1572
846	8648	1562
847	8659	1552
848	8668	1541
849	8678	1531
850	8687	1521
851	8696	1510
852	8706	1500
853	8715	1490
854	8726	1479
855	8736	1469
856	8745	1459
857	8754	1448
858	8763	1438
859	8772	1428
860	8781	1417
861	8790	1407
862	8799	1396
863	8808	1386
864	8819	1376
865	8828	1366
866	8837	1355
867	8846	1345
868	8856	1335
869	8864	1324
870	8874	1314
871	8883	1303
872	8892	1293
873	8901	1283
874	8910	1272
875	8919	1262
876	8928	1252
877	8937	1241
878	8946	1231
879	8956	1221
880	8965	1210
881	8975	1200
882	8984	1190
883	8993	1180
884	9002	1169
885	9010	1159
886	9020	1149
887	9029	1138
888	9038	1128
889	9046	1118
890	9055	1107
891	9066	1097
892	9075	1087
893	9084	1077
894	9092	1066
895	9101	1056
896	9110	1046
897	9120	1035
898	9128	1025
899	9137	1015
900	9146	1004
901	9155	994
902	9163	984
903	9172	974
904	9182	963
905	9190	953
906	9199	943
907	9208	933
908	9218	922
909	9226	912
910	9235	902
911	9244	891
912	9253	881
913	9261	871
914	9270	861
915	9281	851
916	9290	840
917	9299	830
918	9308	820
919	9316	810
920	9324	799
921	9334	789
922	9342	779
923	9351	769
924	9361	759
925	9370	748
926	9379	738
927	9388	728
928	9397	718
929	9406	707
930	9416	697
931	9424	687
932	9433	677
933	9442	667
934	9450	656
935	9460	646
936	9469	636
937	9480	626
938	9489	616
939	9499	606
940	9510	596
941	9519	586
942	9528	575
943	9537	565
944	9547	555
945	9556	545
946	9565	535
947	9574	525
948	9583	515
949	9592	504
950	9602	494
951	9612	484
952	9622	474
953	9632	464
954	9641	454
955	9650	444
956	9661	434
957	9671	424
958	9681	413
959	9691	403
960	9700	393
961	9711	383
962	9722	373
963	9732	363
964	9742	353
965	9751	343
966	9761	333
967	9778	323
968	9789	313
969	9799	303
970	9810	293
971	9820	282
972	9829	272
973	9839	262
974	9849	252
975	9859	242
976	9870	232
977	9880	222
978	9892	212
979	9903	202
980	9914	192
981	9925	181
982	9935	171
983	9945	161
984	9955	151
985	9964	141
986	9975	131
987	9985	121
988	9995	111
989	10006	101
990	10017	90
991	10026	80
992	10036	70
993	10045	60
994	10056	50
995	10066	40
996	10075	30
997	10084	20
998	10093	10
999	10103	0
